input_id	dealiased_id	standard_id	short_id
https://google.github.io/eng-practices/review/reviewer	https://google.github.io/eng-practices/review/reviewer	url:https://google.github.io/eng-practices/review/reviewer	FTO2RnTd
https://phauer.com/2018/code-review-guidelines	https://phauer.com/2018/code-review-guidelines	url:https://phauer.com/2018/code-review-guidelines	HnmFW2rl
https://zenodo.org	https://zenodo.org	url:https://zenodo.org	Z6ni32OG
https://figshare.com/about	https://figshare.com/about	url:https://figshare.com/about	1EMndz0j9
https://git-lfs.github.com	https://git-lfs.github.com	url:https://git-lfs.github.com	11GtZ7icJ
https://docs.github.com/en/github/managing-large-files/what-is-my-disk-quota	https://docs.github.com/en/github/managing-large-files/what-is-my-disk-quota	url:https://docs.github.com/en/github/managing-large-files/what-is-my-disk-quota	varWEBV8
10.1371/journal.pcbi.1000424	10.1371/journal.pcbi.1000424	10.1371/journal.pcbi.1000424	15v9FPApU
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
https://www.makeareadme.com	https://www.makeareadme.com	url:https://www.makeareadme.com	16wWVekW1
https://pages.github.com	https://pages.github.com	url:https://pages.github.com	nR2NTYy9
https://choosealicense.com/licenses	https://choosealicense.com/licenses	url:https://choosealicense.com/licenses	Lbp8MQSL
https://docs.github.com/github/administering-a-repository/managing-releases-in-a-repository	https://docs.github.com/github/administering-a-repository/managing-releases-in-a-repository	url:https://docs.github.com/github/administering-a-repository/managing-releases-in-a-repository	146GfpGTF
https://semver.org	https://semver.org	url:https://semver.org	13UfgtMhu
https://pypi.org	https://pypi.org	url:https://pypi.org	Mduzvxei
https://cran.r-project.org	https://cran.r-project.org	url:https://cran.r-project.org	rWFDdwIs
https://www.bioconductor.org	https://www.bioconductor.org	url:https://www.bioconductor.org	10CJ2sJo8
https://bioconda.github.io	https://bioconda.github.io	url:https://bioconda.github.io	AvIrTFAn
https://plotly.com/dash	https://plotly.com/dash	url:https://plotly.com/dash	dk80YsaO
https://shiny.rstudio.com	https://shiny.rstudio.com	url:https://shiny.rstudio.com	B0TdOflx
https://daringfireball.net/projects/markdown/syntax	https://daringfireball.net/projects/markdown/syntax	url:https://daringfireball.net/projects/markdown/syntax	LSHekw4z
https://docutils.sourceforge.io/rst.html	https://docutils.sourceforge.io/rst.html	url:https://docutils.sourceforge.io/rst.html	RPjXsSC8
https://documentation.divio.com	https://documentation.divio.com	url:https://documentation.divio.com	woYMAGdl
https://www.geeksforgeeks.org/python-docstrings	https://www.geeksforgeeks.org/python-docstrings	url:https://www.geeksforgeeks.org/python-docstrings	IsDZd09v
https://readthedocs.org	https://readthedocs.org	url:https://readthedocs.org	9HZXe8sx
https://www.gitbook.com	https://www.gitbook.com	url:https://www.gitbook.com	VjDIpAqq
https://github.com/jazzband/pip-tools	https://github.com/jazzband/pip-tools	url:https://github.com/jazzband/pip-tools	dvOzCOyW
https://www.docker.com	https://www.docker.com	url:https://www.docker.com	rmvJ2O0Q
https://sylabs.io	https://sylabs.io	url:https://sylabs.io	99QkJBoF
https://www.gnu.org/software/make	https://www.gnu.org/software/make	url:https://www.gnu.org/software/make	5iKCi5fm
https://snakemake.readthedocs.io	https://snakemake.readthedocs.io	url:https://snakemake.readthedocs.io	q2TJoDAO
https://www.nextflow.io	https://www.nextflow.io	url:https://www.nextflow.io	11OYUtIpR
https://groovy-lang.org	https://groovy-lang.org	url:https://groovy-lang.org	CVNjbImf
https://deepsource.io/glossary/software-rot	https://deepsource.io/glossary/software-rot	url:https://deepsource.io/glossary/software-rot	8tGcpIB0
https://gitter.im	https://gitter.im	url:https://gitter.im	iXfPU3Cy
https://groups.google.com/forum/m	https://groups.google.com/forum/m	url:https://groups.google.com/forum/m	6v98AMba
latest/discussions	latest/discussions	latest/discussions	9VxIuue8
https://docs.github.com/en/free-pro-team	https://docs.github.com/en/free-pro-team	url:https://docs.github.com/en/free-pro-team	ngGdYg2r
https://guides.github.com/features/issues	https://guides.github.com/features/issues	url:https://guides.github.com/features/issues	5HELQ2ms
https://docs.github.com/github/building-a-strong-community/setting-guidelines-for-repository-contributors	https://docs.github.com/github/building-a-strong-community/setting-guidelines-for-repository-contributors	url:https://docs.github.com/github/building-a-strong-community/setting-guidelines-for-repository-contributors	ep7wwgWj
https://docs.github.com/github/building-a-strong-community/about-wikis	https://docs.github.com/github/building-a-strong-community/about-wikis	url:https://docs.github.com/github/building-a-strong-community/about-wikis	pVl1NEXZ
https://www.contributor-covenant.org	https://www.contributor-covenant.org	url:https://www.contributor-covenant.org	115FgZQh6
https://github.com/stumpsyn/policies/blob/master/citizen_code_of_conduct.md	https://github.com/stumpsyn/policies/blob/master/citizen_code_of_conduct.md	url:https://github.com/stumpsyn/policies/blob/master/citizen_code_of_conduct.md	qcPNBi0h
https://nvie.com/posts/a-successful-git-branching-model	https://nvie.com/posts/a-successful-git-branching-model	url:https://nvie.com/posts/a-successful-git-branching-model	1Ei7XPHmQ
https://www.atlassian.com/agile/kanban	https://www.atlassian.com/agile/kanban	url:https://www.atlassian.com/agile/kanban	zcUBK27J
https://github.com/features/project-management	https://github.com/features/project-management	url:https://github.com/features/project-management	ssoXtriL
https://www.gitkraken.com/boards	https://www.gitkraken.com/boards	url:https://www.gitkraken.com/boards	QrHcaBPj
https://www.scrum.org/resources/what-is-scrum	https://www.scrum.org/resources/what-is-scrum	url:https://www.scrum.org/resources/what-is-scrum	LLiWj74b
https://www.zenhub.com	https://www.zenhub.com	url:https://www.zenhub.com	rX7VZWos
https://www.atlassian.com/software/jira	https://www.atlassian.com/software/jira	url:https://www.atlassian.com/software/jira	a6SmwGuV
https://agilemanifesto.org	https://agilemanifesto.org	url:https://agilemanifesto.org	qOcBF2oS
https://github.com/c4urself/bump2version	https://github.com/c4urself/bump2version	url:https://github.com/c4urself/bump2version	1UVh4XJi
https://danger.systems/ruby	https://danger.systems/ruby	url:https://danger.systems/ruby	SXI7Canc
10.1101/2021.02.06.430068	10.1101/2021.02.06.430068	10.1101/2021.02.06.430068	vKRwWIVz
doi:10.1038/nprot.2017.149	doi:10.1038/nprot.2017.149	doi:10.1038/nprot.2017.149	ALU8zyix
doi:10.1186/s13059-019-1766-4	doi:10.1186/s13059-019-1766-4	doi:10.1186/s13059-019-1766-4	KBoHN8e8
doi:10.1038/nrg3643	doi:10.1038/nrg3643	doi:10.1038/nrg3643	94lBUqNp
doi:10.1186/1752-0509-7-74	doi:10.1186/1752-0509-7-74	doi:10.1186/1752-0509-7-74	cieXgNg
doi:10.1038/s41576-019-0150-2	doi:10.1038/s41576-019-0150-2	doi:10.1038/s41576-019-0150-2	1DX19gjFK
doi:10.1101/2021.02.01.429138	doi:10.1101/2021.02.01.429138	doi:10.1101/2021.02.01.429138	31ZBzbN6
doi:10.1186/s13059-019-1769-1	doi:10.1186/s13059-019-1769-1	doi:10.1186/s13059-019-1769-1	1GXDCoupc
doi:10.1038/s41587-020-0446-y	doi:10.1038/s41587-020-0446-y	doi:10.1038/s41587-020-0446-y	14iHcKBb7
